Date,2013-09-05
AccountName,量化策略B
AccountNo,10001235
AccountClass,INVESTMENT
AccountType,EQUITY
Country,CN
Currency,CNY
NetValuePerShare,1
Share,100000000

POSITION
CASH,100000000
COMMISSION,0
PAYABLE_SETT_ACCOUNTS,0
RECEIVABLE_SETT_ACCOUNTS,0

TURN,2013-09-06
00024,40500,27.62
000046,89900,5.03
000069,177500,5.69
000100,305500,2.17
000338,27100,19.68
000423,12000,38.26
000528,43000,6.8
000538,8000,104.2
000540,85400,7.26
000550,23400,16.58
000562,47300,9.53
000612,27900,8.75
000623,32600,17.48
000625,59900,10.43
000629,108500,2.33
000655,33300,8.64
000661,1700,115.9
000680,93200,3.71
000690,101300,4.88
000718,85700,5.75
000725,184000,2.1
000729,158100,6.48
000758,29800,13.67
000762,9300,12.33
000780,48600,5.54
000783,91900,8.74
000786,9800,17.19
000800,40800,15.16
000816,30500,4.77
000825,73200,2.52
000830,41100,3.92
000839,50000,6.95
000858,70400,19.53
000860,14600,12.45
000883,40000,5.52
000898,469100,3.22
000933,95900,5.99
000937,39600,9.12
000962,13600,11.37
002008,7800,11.53
002022,38000,15.86
002041,12900,26.84
002073,20700,8.72
002081,13300,24.39
002092,58200,5.63
002128,34400,9.38
002142,210700,8.82
002152,18000,14.11
002161,20300,9.06
002202,116900,5.91
002230,4200,51.01
002233,47500,6.55
002236,16300,41.43
002294,7000,34.96
002340,21700,11.89
002344,40100,17.27
002353,9700,65.67
002399,23000,19.52
002450,8200,26.52
002500,84100,6.62
002570,16500,36.48
600005,143300,2.29
600009,111200,16.54
600019,136300,4.39
600027,90500,3.05
600037,85900,7.35
600050,278800,3.22
600059,18300,11.32
600064,64000,11.08
600085,30800,22.91
600089,90900,9.75
600115,108200,2.85
600123,29200,13.78
600132,19700,16.09
600151,57700,7.5
600169,55600,2.58
600176,35300,8.47
600177,135300,6.76
600195,30200,12.54
600197,21000,11.24
600256,75700,10.59
600267,19900,16.62
600309,46600,16.66
600316,17800,19.41
600325,93900,6.62
600340,26500,35.15
600352,42100,12.26
600380,63400,4.48
600418,24300,8.73
600426,24500,6.27
600432,50600,9.24
600499,10800,15.48
600500,38900,6.47
600518,36700,19.68
600583,95300,7.49
600585,34500,15.1
600596,13600,14.06
600600,30000,40.47
600643,41300,11.06
600660,149300,7.9
600664,40700,6.13
600674,18000,11.02
600685,32900,11.24
600690,42400,12.54
600759,68000,4.48
600765,5800,15.53
600795,377100,2.25
600804,63500,15.43
600805,6500,10.05
600809,16400,20.76
600811,96500,5.86
600837,386100,11.64
600839,348700,2.03
600879,32000,8.79
600886,158200,3.67
600978,65500,5.12
601002,20100,8.98
601009,183600,8.04
601018,141700,2.36
601088,90400,16.6
601166,546600,11.7
601168,155100,5.92
601169,581200,8.36
601179,302100,3.66
601258,52500,5.16
601299,115800,4.45
601390,267600,2.62
601628,117600,14.39
601633,15400,46.93
601668,432900,3.33
601688,134800,9.09
601788,154400,9.11
601866,401500,2.52
601888,20700,37.96
601933,57100,12.16
601939,856200,4.16
601992,43400,5.35


TURN,2013-09-13
000024,500,27.74
000046,2500,5.21
000069,-1800,6.4
000100,800,2.29
000338,300,19.75
000423,-200,39.4
000528,-700,7.24
000538,-100,100.2
000540,-1700,7.64
000550,1800,15.97
000559,36400,7
000562,-5000,9.4
000612,1100,9.63
000623,600,18.97
000625,2400,10.8
000629,-1000,2.49
000655,100,8.96
000661,0,108.68
000680,700,3.75
000690,-5700,4.84
000718,-1500,6
000725,-9900,2.32
000729,-700,6.25
000758,100,14.38
000762,-9300,12.9
000780,200,5.86
000783,-2400,9.34
000786,0,18.62
000800,3100,14.39
000816,200,4.8
000825,-1200,2.78
000830,-700,4.11
000839,-7000,7.5
000858,1000,18.9
000860,800,14.22
000883,600,5.81
000898,4000,3.22
000933,2600,5.8
000937,3000,9.92
000962,100,10.96
002008,-300,11.55
002022,-500,15.83
002041,-500,26.29
002073,-100,9.17
002081,-600,26.53
002092,-1400,6.24
002128,-34400,8.87
002142,200,9.56
002152,-200,15.16
002161,-300,9.11
002202,-1900,6.73
002230,-600,46.55
002233,-800,6.43
002236,-500,41.09
002294,0,34.83
002340,-1900,10.92
002344,2300,18.83
002353,-200,62.05
002399,-100,19.5
002450,-300,26.21
002500,-2700,6.78
002570,300,37.91
600005,100,2.49
600009,100,16.74
600019,-1300,4.61
600027,2700,3.39
600037,2400,7.32
600050,-1100,3.31
600059,-1900,11.58
600064,800,11.85
600085,-1700,20.81
600089,-5800,10.19
600115,-5400,3.39
600123,-700,13.71
600132,-900,16.56
600151,-5700,7.95
600157,40200,6.82
600169,-600,3.14
600176,-900,8.58
600177,5300,7.8
600195,2000,13.07
600197,300,12.15
600256,800,10.25
600267,200,15.66
600309,100,16.93
600316,-700,18.31
600325,-2200,7.12
600340,100,34.61
600352,-200,13.14
600380,3400,4.82
600418,1400,9.37
600426,-1000,6.38
600432,800,9.87
600499,100,16.1
600500,1900,6.31
600518,100,19.34
600583,-1000,7.97
600585,-1000,16.31
600596,-600,14.9
600600,100,41.11
600643,-3100,15.59
600660,6300,7.38
600664,-1700,6.41
600674,-1000,12.19
600685,-3900,12.3
600690,-42400,13.58
600759,-1600,4.69
600765,-200,15.62
600795,10600,2.52
600804,-4300,14.44
600805,1600,10.69
600809,-100,21.73
600811,-200,5.52
600837,-600,13.07
600839,13500,2.12
600879,700,8.31
600881,52100,4.26
600886,5600,3.61
600978,6400,5.15
601002,400,8.75
601009,-183600,8.98
601018,3600,2.42
601088,700,17.78
601166,6900,12.86
601168,-1000,6.3
601169,3800,9.15
601179,-100,3.67
601258,1900,5.66
601299,-800,4.48
601390,3600,3.01
601628,3000,14.84
601633,200,44.99
601668,-4400,3.28
601688,1000,9.74
601788,3100,9.82
601866,10500,3.34
601888,900,36.6
601933,700,13.49
601939,15200,4.55
601988,599200,2.86
601992,1100,5.54


TURN,2013-09-20
000012,27700,8.8
000024,-800,25.27
000046,-2200,4.92
000061,46600,7.48
000069,-300,5.98
000100,14900,2.28
000338,-1400,19.44
000423,100,40.15
000528,1100,7
000538,-600,100.71
000540,-2200,7.36
000550,-400,16.88
000559,-1900,6.33
000562,42600,9.66
000612,-2100,9.06
000623,0,17
000625,500,9.85
000629,-6500,2.59
000655,-700,8.15
000661,-1700,108.3
000680,-2200,3.76
000690,-1600,4.72
000718,500,5.97
000725,10800,2.08
000729,-6500,6.22
000758,0,13.51
000780,1700,5.44
000783,2700,9.17
000786,0,17.33
000800,1700,13.68
000816,3100,4.64
000825,-72000,2.82
000830,-500,3.81
000839,-3500,6.92
000858,500,18.42
000860,200,13.9
000883,5800,6.17
000898,-11700,3.14
000933,1500,5.3
000937,-2600,9.65
000962,100,10.99
002008,-400,10.72
002022,2500,15.45
002041,500,25.61
002073,200,8.15
002081,-500,24.46
002092,2200,5.71
002128,28600,9.32
002142,-2200,9.59
002152,1900,14.48
002161,-1500,8.96
002202,-2800,6.23
002230,0,44.08
002233,2100,6.99
002236,1200,45.11
002294,200,32.22
002340,4800,11.1
002344,400,20.98
002353,-500,71.59
002399,-6400,19.24
002450,-1000,25.84
002500,7900,6.79
002570,-1500,37.77
600005,-6200,2.34
600009,-8600,14.84
600019,8500,4.22
600027,700,3.3
600037,-700,8.26
600050,15800,3.35
600059,-16400,11.69
600064,-3800,11.49
600085,700,21.41
600089,-11000,10.25
600115,-1100,2.98
600123,400,14.08
600132,-1100,16.08
600151,-5200,8.68
600157,-40200,6.38
600161,10700,17.68
600169,2200,3.19
600176,-6500,8.07
600177,2500,8.16
600195,-1200,12.87
600197,-2000,11.46
600256,-4000,10.2
600267,1400,18.3
600309,-900,16.89
600316,400,16.77
600325,-3100,6.98
600340,-1300,36.1
600352,0,13.14
600380,4200,4.97
600418,700,9.48
600426,-1600,6.27
600432,-1600,9.43
600481,11100,9.28
600499,500,17.06
600500,2500,6.25
600518,1000,18.41
600583,-1800,7.13
600585,-2100,15.22
600596,-1600,13.02
600600,-700,41.46
600643,-2200,13.87
600660,4700,7.7
600664,1100,6.43
600674,-400,11.19
600685,-1900,12.31
600759,-3500,4.76
600765,-5600,14.37
600795,-17000,2.43
600804,1900,15.65
600805,-8100,10.71
600809,-1800,19.79
600811,-200,5.79
600837,2400,12.4
600839,17500,2.14
600879,100,7.71
600881,-1700,4.06
600886,-4600,3.82
600978,2100,5.19
601002,-300,8.42
601018,-2800,2.39
601088,-1800,17.54
601111,57900,4.34
601166,-12800,12.25
601168,-500,6.01
601169,-13700,8.79
601179,-10600,3.46
601258,-1000,5.27
601299,-8700,4.45
601390,-800,2.88
601628,-2500,14.94
601633,-700,47.8
601668,500,3.28
601688,5800,9.73
601788,6100,9.63
601866,-28100,2.86
601888,-900,43.42
601933,2200,14
601939,55400,4.53
601988,22200,2.89
601992,-5200,5.41
